display  D   display_settings.c:214  debug_display_settings           [   0.20230] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20270] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.20296] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20319] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20348] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20379] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20394] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20413] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20429] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20449] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20463] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20476] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20496] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20553] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20585] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20609] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20640] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20668] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20685] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20727] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20758] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20782] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20792] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20817] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20827] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20838] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20847] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20860] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20871] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20884] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20897] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20916] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20935] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20943] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20950] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20972] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20991] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21011] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21023] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
