stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Hayat\source\repos\Projeto-1904\x64\Debug\allegro5.cfg r
display  D   display_settings.c:400  _al_score_display_settings       [   0.15196] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15208] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15227] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15257] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15277] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15293] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15304] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15318] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15333] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15348] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15362] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15380] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15393] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15407] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15420] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15439] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15454] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15466] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15481] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15498] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15512] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15527] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15543] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15561] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15579] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15598] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15612] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15626] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15638] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15650] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15665] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15678] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15692] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15703] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15719] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15729] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
